ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
5438,3543097,Active,315808.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,WEST 2 STREET,E,AVENUE X,AVENUE Y,40.59011656704,-73.97197894007,"992,032.50870122","154,273.038944811",POINT (-73.9719789400729 40.5901165670393)
1323,1443016,Active,102478.0,3HR Com Mon-Fri 0800-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400,,On Street,Manhattan,WEST 39 STREET,S,7 AVENUE,8 AVENUE,40.75471388567,-73.98986083698,"987,059.08820188","214,239.470192805",POINT (-73.9898608369811 40.7547138856682)
1666,2162850,Active,217165.0,2HR Pas Mon-Sat 0900-1900,,On Street,Bronx,LAFAYETTE AVENUE,S,REVERE AVENUE,EAST TREMONT AVENUE,40.82946847544,-73.82551157818,"1,032,538.30301756","241,523.080323637",POINT (-73.8255115781793 40.8294684754389)
5510,4313072,Active,453217.0,2HR Pas Mon-Sat 0930-1900,,On Street,Queens,JAMAICA AVENUE,S,96 STREET,97 STREET,40.69449510078,-73.84890272882,"1,026,149.81513838","192,335.877845228",POINT (-73.8489027288198 40.694495100775)
5687,3033031,Active,318635.0,2HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,BELMONT AVENUE,S,ROCKAWAY AVENUE,THATFORD AVENUE,40.66846534436,-73.90982962101,"1,009,264.33939497","182,829.223302141",POINT (-73.9098296210094 40.6684653443554)
1037,4293073,Active,423818.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,120 STREET,W,103 AVENUE,LIBERTY AVENUE,40.68700216137,-73.82345274991,"1,033,212.67863731","189,619.184459731",POINT (-73.8234527499104 40.6870021613736)
9983,1193009,Active,109127.0,3HR Com Mon-Fri 0830-1300 / 2HR Pas Mon-Fri 1300-1900 / 2HR Pas Sat 0900-1900,,On Street,Manhattan,LEXINGTON AVENUE,W,EAST 81 STREET,EAST 82 STREET,40.77670811506,-73.9577221385,"995,959.35156931","222,255.35803239",POINT (-73.9577221385033 40.7767081150601)
2823,2013080,Active,213452.0,2HR Pas Sat 0800-1900,,On Street,Bronx,EAST FORDHAM ROAD,S,EAST 188 STREET,CRESTON AVENUE,40.86214226706,-73.89879493572,"1,012,243.96696588","253,395.453232393",POINT (-73.8987949357247 40.8621422670595)
7305,4512685,Active,441455.0,2HR Pas Mon-Sat 0730-1900,,On Street,Queens,77 ROAD,S,VLEIGH PLACE,MAIN STREET,40.72055889461,-73.81894696706,"1,034,437.01772405","201,847.431000561",POINT (-73.8189469670562 40.7205588946088)
14853,1483119,Active,100469.0,"3HR Com Mon-Fri 1300-1800, 1800-2200 / 3HR Pas Sat 1000-2200",,On Street,Manhattan,MAIDEN LANE,N,PEARL STREET,WATER STREET,40.70652331208,-74.00643460646,"982,465.981574476","196,682.042053148",POINT (-74.0064346064633 40.7065233120784)
10008,3183031,Inactive,313259.0,1 HR Pas Mon-Sat 0830-2200,,On Street,Brooklyn,COURT STREET,W,2 PLACE,3 PLACE,40.67905650967,-73.99756480327,"984,925.445487559","186,675.022040978",POINT (-73.9975648032707 40.6790565096692)
9132,4081965,Active,403118.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,164 STREET,E,89 AVENUE,JAMAICA AVENUE,40.70615165453,-73.79625046058,"1,040,740.5769673","196,612.268570647",POINT (-73.7962504605816 40.7061516545335)
2631,5043072,Active,513898.0,2HR Pas Mon-Sat 0900-1800,,On Street,Staten Island,FOREST AVENUE,N,BARD AVENUE,NORTH MADA AVENUE,40.63065386737,-74.10614484859,"954,787.461472303","169,058.43719548",POINT (-74.1061448485862 40.6306538673715)
13053,3073108,Active,311697.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,19 AVENUE,W,86 STREET,BENSON AVENUE,40.60578825084,-74.00070044716,"984,055.504970223","159,981.389732808",POINT (-74.0007004471577 40.6057882508425)
13267,1433882,Active,103385.0,3HR Com Mon-Sat 1000-1600,,On Street,Manhattan,EAST 57 STREET,N,3 AVENUE,2 AVENUE,40.76003298075,-73.96678823046,"993,450.694185048","216,178.971563146",POINT (-73.9667882304634 40.7600329807539)
