the_geom,SOURCE_ID,SUB_CODE,FEAT_CODE,STATUS,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((-74.2380411327345 40.503304808082596, -74.2380456703514 40.50330258245872, -74.2380996085305 40.50352236356931, -74.2380934971221 40.50352293277856, -74.23808438308131 40.50352378197899, -74.23802757049904 40.503306150992174, -74.23803438228023 40.503305476772375, -74.23803557339903 40.503305359033504, -74.2380411327345 40.503304808082596)))",17.380.002.462,380.01,3.8,Unchanged,"171,8796812","381,992662417"
"MULTIPOLYGON (((-74.23840190286064 40.503204761006174, -74.23840533720475 40.503203472413105, -74.2384830315728 40.503507541594765, -74.23847310104448 40.50350902109482, -74.23846329314394 40.50351048232852, -74.23839006468114 40.503209202712675, -74.23839664589809 40.50320673328781, -74.23840190286064 40.503204761006174)))",17.380.002.463,380.01,3.8,Unchanged,"234,828361674","569,974911574"
"MULTIPOLYGON (((-74.23845881329208 40.50279385118135, -74.23846582239123 40.50279294688991, -74.23852368525111 40.50302030934632, -74.23851925628688 40.50302288867284, -74.23851805628546 40.50302316042633, -74.2385041784562 40.50302629971093, -74.23844234002462 40.502795977349116, -74.23845881329208 40.50279385118135)))",17.380.002.464,380.01,3.8,Unchanged,"182,583439795","526,928330918"
"MULTIPOLYGON (((-74.1629625944757 40.587253637924086, -74.16298552778812 40.58723569035286, -74.1629862339372 40.58723608378111, -74.1630047901487 40.587246415295674, -74.16304577872424 40.58727068932364, -74.16308677914175 40.5872949633202, -74.16308774993958 40.58729586246718, -74.16309036632495 40.587298272160346, -74.16309066283219 40.587299247908526, -74.1630915213871 40.58730207073608, -74.16309165926033 40.587305321435345, -74.16309007268708 40.58730862861385, -74.16308584273607 40.58731298415314, -74.16306458112628 40.587334913294086, -74.16304815035052 40.58735185927537, -74.16300622793764 40.58739508091619, -74.16298329901187 40.58741871800141, -74.16296429368028 40.58743831156352, -74.16296247444679 40.58744018723554, -74.16292237115886 40.58748153317344, -74.16292232402206 40.58748157916702, -74.16290078257171 40.587502628861166, -74.16288870379887 40.58751443205506, -74.16288510490945 40.58751794740301, -74.16286355515393 40.58753899169866, -74.16286051954428 40.5875419560267, -74.16285502457156 40.58754732193828, -74.1628393928396 40.58756259268087, -74.16282527317591 40.58755465205029, -74.16306162813645 40.58731171996268, -74.1629625944757 40.587253637924086)))",17.380.002.465,380.0,3.8,Unchanged,"315,61767845","977,458209277"
"MULTIPOLYGON (((-74.2114832157234 40.54871061257533, -74.21149606881806 40.54870779996545, -74.21150931855173 40.54874861635597, -74.21155803808045 40.5488682267343, -74.21156407985065 40.548883060824906, -74.21157347921365 40.54890613577422, -74.21158127175997 40.54892246782014, -74.21158976727219 40.548938596851734, -74.21159895507466 40.5489545066791, -74.21160882684119 40.548970177505645, -74.21161937071261 40.54898559224307, -74.21162725272609 40.54899624628533, -74.21163057365486 40.54900073560618, -74.21163794710344 40.54900997675432, -74.21164242616399 40.549015588701224, -74.21165491284478 40.54903013624737, -74.21172062865405 40.54911268727454, -74.21170862089289 40.549121874997, -74.21168072613331 40.54909294109183, -74.21163046674106 40.549025872270356, -74.21160069280042 40.548989164840016, -74.21156996425253 40.54894326926173, -74.21153355561698 40.54885991492565, -74.21149057158334 40.54874900118955, -74.21147841011197 40.54871296820415, -74.2114832157234 40.54871061257533)))",17.380.002.466,380.0,3.8,Unchanged,"334,736304295","857,690169393"
"MULTIPOLYGON (((-74.15481836111302 40.58174025300302, -74.15481584217159 40.58173889480312, -74.15481353136616 40.581737647987865, -74.15480832436863 40.58173483906158, -74.15480880051777 40.5817017855414, -74.15480636924627 40.581694427023486, -74.15479266938057 40.58168524391501, -74.15471856647835 40.58165037723443, -74.15468150807209 40.58163018332547, -74.15465490966498 40.58160997532485, -74.15463959547375 40.58159834043981, -74.1546146225775 40.58158487877824, -74.15456067404338 40.58156716149007, -74.15447129863243 40.58153906283043, -74.15439318310607 40.581508495039266, -74.15425546954499 40.5814528564581, -74.15412178333452 40.58139905298306, -74.15409440491061 40.581389273981436, -74.15407830917427 40.58138745579514, -74.15406698074284 40.58138782219177, -74.1540671435492 40.58138518073282, -74.15406777769435 40.58138359495803, -74.15406818874496 40.58138258041535, -74.1540706985086 40.58137638864017, -74.1541001868593 40.58137868865675, -74.15411139525715 40.581381585020885, -74.15416210441029 40.58140267303002, -74.1542795968874 40.581448530357264, -74.15438102689171 40.581490042501926, -74.15439543723568 40.58143924972249, -74.15439313294257 40.58137132619847, -74.15438914825117 40.58133522139038, -74.15438807646652 40.58132784662818, -74.15438618166736 40.58132056842756, -74.15438347933336 40.581313440799185, -74.15437998966655 40.581306516846865, -74.15437573877426 40.581299849666465, -74.15437075866343 40.58129348964433, -74.1543650860568 40.58128748355828, -74.15435670763353 40.581284083625306, -74.15436240537852 40.58127797040888, -74.15436690607703 40.58127314114848, -74.15437554803127 40.58128120184542, -74.15438188842357 40.58128791574702, -74.15438745491537 40.58129502331726, -74.15439220486566 40.58130247238303, -74.15439610271187 40.58131020715972, -74.15439912115076 40.58131816824933, -74.15440123642648 40.581326298050406, -74.1544023910147 40.58133423733056, -74.15440642276343 40.581370768923925, -74.15440877781023 40.58144020436144, -74.15439348411397 40.581494112345915, -74.15439318991137 40.581494578312835, -74.1544825359784 40.58152739222292, -74.15452199427659 40.58154144859045, -74.15460251274226 40.58156710519795, -74.15463970540252 40.58158205339214, -74.15466812022561 40.581505810895095, -74.15468930362522 40.58148899298282, -74.15468589964185 40.58148593397894, -74.15465010469516 40.581456369293726, -74.1546442534362 40.58144922880017, -74.1546411154516 40.581356496031226, -74.1546457350351 40.581349456710875, -74.15465670302247 40.5813342149654, -74.15467883322869 40.58132028556586, -74.15469304019241 40.58131897148267, -74.15469515850569 40.58132023837111, -74.15469541155828 40.58132393468667, -74.15469583089482 40.5813300712018, -74.15469182513041 40.581330322438724, -74.15468419680637 40.58133207072316, -74.15465813935248 40.58135567705181, -74.15465598197534 40.58135896327104, -74.15466006060774 40.58144730291161, -74.15466271148385 40.581450045945175, -74.15470020969744 40.581481179749666, -74.15470217810706 40.581481467068365, -74.15474937589133 40.58144692149353, -74.15486326366816 40.58136220331329, -74.15483109272088 40.581344506324456, -74.1548150601587 40.58133173056464, -74.1548140884822 40.58133087637495, -74.15482361173441 40.58133083832742, -74.15482375346792 40.58133083813643, -74.15483638184628 40.581330787798684, -74.15483776242674 40.581334291683014, -74.15484039416506 40.58133642058007, -74.15488502761399 40.58136097177411, -74.15475914267144 40.58145461593382, -74.15468200348458 40.58151107558617, -74.15465361633471 40.581583960891216, -74.15465275952869 40.581589868589724, -74.15467501391312 40.58160504129878, -74.15470725241943 40.581628922146955, -74.15474833514226 40.58164972388502, -74.15482083648561 40.581687659893575, -74.15482326515362 40.58169440425653, -74.1548240920097 40.58170360560975, -74.15482418160018 40.58174225243044, -74.15481836111302 40.58174025300302)))",17.380.002.468,380.01,3.8,Unchanged,"1.071,49341272","2.241,52498056"
"MULTIPOLYGON (((-73.9531132518691 40.67017706843838, -73.95311694610162 40.67015083702573, -73.95311925202303 40.670134464791815, -73.95311978927867 40.67013065042691, -73.95312326955796 40.67010593359385, -73.95312682114837 40.67008071520253, -73.95312684610816 40.67008053961216, -73.95315654316228 40.670082503125066, -73.95315787109082 40.67008282785137, -73.95315917179236 40.67008318858717, -73.95316000541135 40.67008343746884, -73.95316047247493 40.67008357633837, -73.95316173765166 40.67008400009579, -73.95316265991269 40.67008433366203, -73.95316299097617 40.670084459868995, -73.95316408110405 40.67008489976441, -73.95316422062177 40.67008495565316, -73.95316490282414 40.67008525130001, -73.95316542659467 40.67008547844314, -73.95316598818458 40.67008574342331, -73.9531666088886 40.670086037244076, -73.95316776750985 40.67008662305086, -73.9531688906252 40.67008724486378, -73.95316999006792 40.670087893682506, -73.95317015675336 40.67008799821013, -73.953171065838 40.670088569507016, -73.95317209428168 40.670089272327786, -73.95317309905269 40.67009000215435, -73.95317319479777 40.67009007693613, -73.95317403876712 40.67009074456165, -73.95317406831785 40.670090767987105, -73.95317500208976 40.67009155181568, -73.95317590036854 40.67009235364014, -73.95317676314775 40.670093182465564, -73.95317679742038 40.67009321850015, -73.95317759042747 40.67009403829205, -73.9531783703871 40.67009491210957, -73.9531785949072 40.67009518325611, -73.95317911484722 40.670095812928096, -73.95317943978877 40.670096236302655, -73.95317981199358 40.67009672273254, -73.95318039802368 40.670097552345844, -73.95318047364034 40.67009765953794, -73.95318108797345 40.67009860532929, -73.95318165498645 40.67009956911168, -73.95318218650624 40.670100550889934, -73.95318265888542 40.67010154164924, -73.95318273917786 40.67010172718813, -73.95318309577138 40.67010255040444, -73.95318348534992 40.67010355914042, -73.95318382760837 40.67010458586741, -73.95318399749674 40.670105182077826, -73.95318412255304 40.67010562158033, -73.95318437018396 40.67010666627909, -73.95318457050743 40.670107710958646, -73.95318451322814 40.670116862874835, -73.95318440530478 40.670134138321096, -73.9531843746177 40.6701391037513, -73.95318431851597 40.67014826287209, -73.95318429056466 40.6701527006013, -73.95318412429317 40.670153691100715, -73.95318396407352 40.670154484389705, -73.95318392253473 40.670154690590834, -73.95318367348146 40.670155672051436, -73.95318337712068 40.67015665349278, -73.9531830452856 40.670157625914534, -73.95318266614933 40.670158589311875, -73.95318231552838 40.67015936631408, -73.9531822397182 40.670159534679634, -73.9531817659859 40.670160471023024, -73.95318125677929 40.670161398346806, -73.95318071209836 40.670162316651, -73.95318035218088 40.67016285861487, -73.95318012012893 40.67016320792049, -73.95317948085827 40.67016409016551, -73.95317888306317 40.67016485626098, -73.95317880611961 40.670164954385825, -73.95317809591296 40.67016580058142, -73.95317735023832 40.67016662875224, -73.95317674544508 40.67016725526488, -73.95317656909567 40.670167438898304, -73.95317574066448 40.67016822200962, -73.95317488859216 40.670168987101036, -73.95317456198016 40.67016925802329, -73.9531740010582 40.670169725162545, -73.95317307805621 40.67017044519929, -73.95317211959254 40.67017113820613, -73.95317185099476 40.67017132000092, -73.95317113749407 40.67017180418787, -73.95317011993392 40.670172443139684, -73.95316907754238 40.670173074877304, -73.9531690385061 40.67017308566761, -73.95316800207607 40.67017364896841, -73.95316690178463 40.67017420684015, -73.95316592574554 40.67017466480524, -73.9531657896916 40.67017472868643, -73.95316464213057 40.670175232507965, -73.95316347094109 40.670175700299254, -73.95316339759552 40.670175727284864, -73.95316312550591 40.67017582893235, -73.95316228794371 40.670176141070264, -73.95316108131783 40.670176545811, -73.95315986289035 40.670176914526266, -73.9531587142724 40.670177239144735, -73.95315862082172 40.67017726522163, -73.95315736695787 40.670177570886366, -73.95315608945926 40.67017784952603, -73.95315481198588 40.670178092145065, -73.95315352271092 40.670178298738655, -73.95315222162806 40.67017847831195, -73.9531517958289 40.67017852316434, -73.95315150131442 40.670178559065036, -73.95315092057054 40.67017862186463, -73.9531496077114 40.67017872939185, -73.95314829487754 40.670178800898476, -73.95314697024212 40.67017883637964, -73.95314565745888 40.67017883584499, -73.95314436006896 40.67017880920162, -73.95314432577163 40.670178808287154, -73.9531430201288 40.67017874471932, -73.95314170741516 40.67017864512791, -73.95314092689827 40.67017856376361, -73.95314040655369 40.670178509520746, -73.9531132518691 40.67017706843838)))",19.380.000.739,380.0,3.8,Unchanged,"97,5017432104","584,528399681"
"MULTIPOLYGON (((-73.95334838942802 40.67018512278471, -73.95334702989143 40.670184329779744, -73.95334672134476 40.67018413694429, -73.95334615981373 40.670183785515505, -73.9533457058607 40.67018350076851, -73.95334441732955 40.670182644756196, -73.95334316430429 40.67018175273764, -73.95334269384843 40.670181389639104, -73.9533425590945 40.67018128602517, -73.95334195861172 40.6701808247177, -73.95334080024558 40.670179869701414, -73.95333967737902 40.67017888768406, -73.95333941854055 40.670178644439886, -73.95333895523065 40.67017821020351, -73.95333860183888 40.67017787867043, -73.95333757363153 40.67017683365541, -73.95333671920173 40.67017589947423, -73.95333659275056 40.67017576164405, -73.95333565918973 40.67017467164158, -73.9533353531433 40.6701742860968, -73.95333477295534 40.67017355464284, -73.95333394586795 40.670172419657796, -73.95333347919284 40.670171724270475, -73.95333316610699 40.67017125767644, -73.95333244549303 40.67017007770874, -73.95333177219926 40.67016887974997, -73.95333175093984 40.670168838317664, -73.95333114622554 40.670167663800086, -73.9533305912257 40.67016642986866, -73.95333008353967 40.67016518695125, -73.95332998556502 40.670164917657374, -73.95332962317376 40.670163926042726, -73.95333020893872 40.67015499676828, -73.95333066319652 40.67014808459527, -73.95333108159682 40.67014171091598, -73.95333222921934 40.67012421346404, -73.95333226508619 40.670123661462554, -73.9533325041728 40.67012001807363, -73.95333276510733 40.67011895557118, -73.95333306151616 40.67011790208822, -73.953333417053 40.67011685763439, -73.95333380806412 40.670115822200124, -73.9533339407424 40.6701155115761, -73.95333424637637 40.670114795790184, -73.95333474381665 40.67011377840943, -73.9533352767249 40.670112779053326, -73.9533353963205 40.67011257288375, -73.95333584510112 40.670111797721916, -73.95333647260537 40.67011082541964, -73.95333702902869 40.67011002418653, -73.95333713557756 40.67010987114211, -73.95333784583825 40.67010894389918, -73.95333859157326 40.67010802567578, -73.95333900584234 40.6701075557747, -73.95333938460311 40.67010712548186, -73.95333984264101 40.67010664209079, -73.9533402130946 40.670106252317794, -73.9533410770478 40.67010540618361, -73.95334198830211 40.670104569073715, -73.95334261313464 40.670104034420916, -73.95334292318493 40.67010376799403, -73.95334390536253 40.67010298494383, -73.95334491116867 40.670102237923814, -73.95334555367849 40.67010179332969, -73.95334596426967 40.670101508933286, -73.95334704100544 40.67010080696783, -73.95334815320291 40.67010013203216, -73.95334911155602 40.670099593011955, -73.95334928902886 40.670099493126706, -73.95335012786323 40.67009905041319, -73.95335044848959 40.67009888124629, -73.95335164341202 40.6700982963957, -73.95335268805331 40.67009782584964, -73.95335286196298 40.67009774757529, -73.95335343218268 40.670097511871454, -73.95335410414243 40.670097234785075, -73.95335536995665 40.670096749019955, -73.95335664638613 40.67009630468275, -73.9533579606502 40.67009587657022, -73.95335928552944 40.67009548988567, -73.95336063639627 40.67009514823742, -73.95336198251344 40.67009483360266, -73.95336335462454 40.67009455499908, -73.9533647385373 40.67009431242087, -73.95336612242488 40.67009410586327, -73.95336751811406 40.67009393533107, -73.95336892560496 40.670093800824226, -73.95337033307068 40.670093702337994, -73.95337175233807 40.67009363987714, -73.95337317158024 40.67009361343689, -73.95337456122384 40.670093632010385, -73.95337459552171 40.67009363202429, -73.95337599815595 40.670093677618524, -73.95339532608503 40.6700947012314, -73.95339180682545 40.67012287873815, -73.95338933418967 40.670142668366424, -73.95338909751149 40.67014456205473, -73.95338849689337 40.67014937146487, -73.95338654637114 40.670164989216126, -73.95338332682205 40.67019076246724, -73.95338317815713 40.67019194838599, -73.95336751995762 40.67019110185919, -73.95336364206972 40.67019089226815, -73.95336201023127 40.67019050438495, -73.95336039025757 40.67019006247565, -73.95335896068899 40.67018963144962, -73.95335880578965 40.67018958456004, -73.95335723317383 40.67018907062861, -73.95335568424326 40.67018851168099, -73.9533553047063 40.67018836024051, -73.95335417082491 40.67018790772196, -73.95335268108548 40.670187267751885, -73.95335184992365 40.670186884695795, -73.95335121502502 40.670186591770786, -73.95334977501902 40.67018586537136, -73.95334845918012 40.670185160634624, -73.95334838942802 40.67018512278471)))",19.380.000.740,380.0,3.8,Unchanged,"93,5580413359","516,781596253"
"MULTIPOLYGON (((-73.9550508503697 40.67028276715712, -73.95505095347488 40.67028245381798, -73.95505900159333 40.670258007065314, -73.95506589185065 40.6702370754724, -73.95506722154937 40.670233035378594, -73.95507275839894 40.67021621951309, -73.95508237085025 40.67018702044854, -73.95510400014291 40.67018834184293, -73.95510549499905 40.67018843337836, -73.95510655938165 40.670188487824646, -73.95510761191925 40.670188569281756, -73.95510866443259 40.670188686759474, -73.95510970510693 40.67018882224287, -73.95511074812967 40.67018898294162, -73.95511177456811 40.670189183256554, -73.95511279153419 40.67018939977707, -73.95511380847601 40.67018965231821, -73.95511480175199 40.670189922860395, -73.95511579500977 40.67019022041806, -73.95511613318335 40.6701903322139, -73.95511676459563 40.6701905449819, -73.9551177223364 40.670190896556626, -73.95511865641134 40.670191266132356, -73.95511957863519 40.67019167172412, -73.95511973706627 40.67019174472771, -73.95512047719923 40.670192086311786, -73.95512136391216 40.670192536915465, -73.95512206262558 40.67019291630506, -73.95512222695922 40.6701930055202, -73.95512234872761 40.67019307760896, -73.95512270457547 40.67019328756789, -73.95512306633437 40.67019350113118, -73.95512334178609 40.670193671436074, -73.95512389387048 40.670194014747835, -73.9551246859139 40.67019454636096, -73.95512545429145 40.67019509597514, -73.95512619899709 40.67019567259552, -73.9551263822119 40.67019582395363, -73.95512692003688 40.670196267217015, -73.95512694367609 40.67019628883865, -73.9551276055839 40.670196879834975, -73.95512826746506 40.67019751045401, -73.95512890568037 40.670198159074125, -73.95512927795019 40.67019857075491, -73.95512950840286 40.67019882569069, -73.95513008746563 40.67019950130318, -73.95513054595483 40.670200086817054, -73.95513063103563 40.6702001949121, -73.95513113911896 40.67020089751238, -73.95513162353643 40.670201618113744, -73.95513207246113 40.670202356711535, -73.95513219295056 40.67020257198177, -73.95513248590521 40.670203095295534, -73.95513286385655 40.67020385187598, -73.95513320632118 40.670204617447695, -73.95513351330519 40.670205383005616, -73.95513379662331 40.67020616656464, -73.95513403263394 40.67020695010518, -73.95513414469124 40.67020739320249, -73.95513423315785 40.670207742637054, -73.95513439819509 40.67020854416023, -73.95513453957854 40.670209345674145, -73.95513463365448 40.67021014716966, -73.9551346922437 40.6702109576565, -73.95513471535837 40.670211759124335, -73.95513470298631 40.670212569583484, -73.9551346551336 40.67021338002877, -73.95513455997944 40.6702141814505, -73.9551344411715 40.67021498286298, -73.95513428688291 40.670215784261636, -73.95513066140714 40.67022888624905, -73.95512866609091 40.67023609679916, -73.95512755046795 40.67024012887254, -73.95512451421706 40.6702511040719, -73.95512112703791 40.67026334435857, -73.9551201090951 40.670264577667744, -73.95511968655697 40.67026505027353, -73.95511903203601 40.670265783938376, -73.95511789586058 40.67026696317043, -73.9551176662692 40.670267185508195, -73.95511671240183 40.670268106363444, -73.9551160804604 40.67026867884478, -73.9551154816536 40.67026922252253, -73.95511463910374 40.67026992819799, -73.95511419179512 40.67027030263793, -73.9551128664741 40.67027135572397, -73.95511247362917 40.67027164103409, -73.95511148204892 40.67027236376117, -73.9551110359678 40.67027267156345, -73.95511006216115 40.670273344769065, -73.95510886830942 40.670274114243995, -73.95510859499001 40.6702742897379, -73.95510709236845 40.67027518966707, -73.95510669010196 40.67027541553949, -73.95510555429048 40.67027605356174, -73.95510526088106 40.67027620563439, -73.95510396893515 40.6702768724122, -73.95510234812333 40.6702776552282, -73.95510121949881 40.670278158175925, -73.95510069186112 40.67027839300454, -73.95509901197543 40.670279085745854, -73.95509805020404 40.67027944917877, -73.95509729663931 40.670279733447565, -73.9550955576736 40.670280345119316, -73.95509427773266 40.67028074715019, -73.95509378681285 40.67028090094673, -73.9550919970509 40.67028142434812, -73.95509017539385 40.670281891905105, -73.95508925985276 40.67028209866628, -73.95508834194627 40.67028230542652, -73.95508649669607 40.67028268292266, -73.9550846278284 40.67028300637864, -73.95508274716414 40.6702832848042, -73.95508085470941 40.67028350919419, -73.95507948388494 40.670283638333174, -73.95507895045805 40.670283688553766, -73.95507789781406 40.67028376288554, -73.955077046237 40.670283822887555, -73.9550751302255 40.67028390318577, -73.9550743543745 40.670283912788484, -73.95507321425153 40.670283927652, -73.95507129830547 40.67028391069453, -73.95506874497416 40.67028376831641, -73.9550508503697 40.67028276715712)))",19.380.000.742,380.0,3.8,Unchanged,"96,6861585652","554,875102173"
"MULTIPOLYGON (((-73.9553399233818 40.67029163004614, -73.95533888885763 40.67029113796305, -73.95533766637867 40.67029050712758, -73.95533763445626 40.67029049180645, -73.95533641792277 40.67028981324597, -73.95533543668178 40.670289228430484, -73.95533522388268 40.67028910137513, -73.95533406534743 40.670288353497504, -73.95533293048413 40.67028757861355, -73.95533235952732 40.67028715695058, -73.95533184294648 40.67028677673248, -73.95533079090764 40.670285947849734, -73.95532977436761 40.67028509196529, -73.95532880515327 40.67028420908379, -73.95532868814243 40.67028409647388, -73.95532785961085 40.67028329919595, -73.95532697203714 40.670282364116204, -73.955326122324 40.67028140743875, -73.95532530691972 40.67028043456535, -73.95532515330581 40.67028023188971, -73.95532455066801 40.670279434699495, -73.95532382990908 40.67027841683704, -73.95532371766883 40.67027824479501, -73.9553231564698 40.67027738098267, -73.95532254217709 40.67027632714095, -73.95532196337713 40.67027525530275, -73.95532155236106 40.670274419464704, -73.95532143189085 40.67027417447771, -73.95532095955107 40.670273075665335, -73.95532053451888 40.67027197687133, -73.95532015681236 40.67027085108028, -73.95531982641343 40.67026972530756, -73.955319555155 40.67026859055264, -73.95531953040178 40.67026846627191, -73.95531933121018 40.670267446810946, -73.95531915457293 40.67026630308766, -73.95531903707618 40.67026515038218, -73.95531877802473 40.6702634483072, -73.95531860176153 40.670261746264444, -73.95531849645968 40.67026004424924, -73.95531848298347 40.67025897533206, -73.9553184739521 40.67025833326096, -73.95531852240586 40.67025662230035, -73.95531865364785 40.670254911371806, -73.95531872619907 40.67025430355203, -73.95531885584515 40.67025320947604, -73.95531911707734 40.67025165618819, -73.95531914082461 40.670251516617526, -73.95531949675937 40.67024983279172, -73.95531956079468 40.670249578871235, -73.95531992365544 40.67024814899351, -73.95532043332764 40.67024648323774, -73.95532101394907 40.67024483551981, -73.9553215731035 40.6702434543462, -73.95532167735267 40.67024319683922, -73.95532239987251 40.67024158519702, -73.95532320517455 40.67023998259211, -73.95532406959289 40.670238407025664, -73.95532462606639 40.670237496820576, -73.9553250167813 40.67023685850678, -73.95532518252661 40.67023660642678, -73.95532602309203 40.67023532802119, -73.95532605623745 40.67023528300828, -73.95532675111441 40.67023432963216, -73.9553271121668 40.670233833588306, -73.9553282603578 40.67023236619385, -73.95532879180959 40.67023173243729, -73.95532913269649 40.67023132553664, -73.95532946766512 40.67023092583782, -73.9553307459096 40.67022952152992, -73.95533208327035 40.67022814426043, -73.9553323980681 40.67022784180941, -73.9553334797413 40.670226803034474, -73.95533427261537 40.67022609733813, -73.9553349353165 40.670225506857264, -73.95533600624599 40.670224616663155, -73.95533645000197 40.67022424672357, -73.95533759662459 40.67022335475783, -73.95533802379765 40.67022302263343, -73.95533961292176 40.67022186788894, -73.95533964487062 40.67022184358742, -73.95534171518429 40.670220934870414, -73.95534251489809 40.67022061189577, -73.95534383276926 40.67022008020264, -73.95534597397774 40.670219270569774, -73.955346824526 40.67021897913288, -73.95534815062466 40.67021852398673, -73.95535024205648 40.67021786922315, -73.95535036271603 40.67021783144829, -73.95535261025178 40.67021719295458, -73.95535486957222 40.67021661750142, -73.95535602878336 40.670216354100205, -73.95535716433704 40.67021609609291, -73.95535782200035 40.670215963972325, -73.95535913141349 40.67021569972887, -73.95535948271952 40.670215628724456, -73.95536181288664 40.670215224396614, -73.95536246579441 40.67021512919527, -73.95536415483836 40.67021488310936, -73.95536652040772 40.67021459586216, -73.95536888593486 40.67021437165101, -73.95537127507961 40.67021420147988, -73.9553736641822 40.670214094344786, -73.95537605324255 40.67021405024571, -73.95537844226075 40.670214069182634, -73.95539029893966 40.670215499296845, -73.95539794676979 40.67021642168843, -73.95539757127891 40.67021728693827, -73.95539203724188 40.67023001988315, -73.95537956551522 40.67025871357572, -73.95537847694798 40.67026121838769, -73.95537320231328 40.670273352589355, -73.95536313750185 40.67029650994375, -73.95535987373033 40.67029583329076, -73.955357093612 40.67029525678258, -73.95534017757923 40.670291750813874, -73.9553399233818 40.67029163004614)))",19.380.000.743,380.0,3.8,Unchanged,"83,3097863045","433,296627629"
