bin,name,map_pluto_bbl,construction_year,feature_code,last_status_type,height_roof,borough_nta,nta_name,nta_key,the_geom,doitt_id,shape_area,base_bbl,objectid,geometry_source,ground_elevation,last_edited_date,length
4294316,,4140700107,1.95,2.1,Constructed,"22,0315",Queens,Howard Beach-Lindenwood,howardbeachlindenwood,"MULTIPOLYGON (((-73.844322513676 40.651076359864, -73.844447519775 40.651057746873, -73.844467401329 40.651135207589, -73.844383714932 40.651147667436, -73.844290996918 40.651161472078, -73.844271114376 40.651084012231, -73.844322513676 40.651076359864)))",21240,"231,7109375",4140700107,633.468,Photogrammetric,10.0,2017 Aug 22 07:29:15 PM,"63,18158435388"
3197219,,3073020021,1.92,2.1,Constructed,"31,69",Brooklyn,Madison,madison,"MULTIPOLYGON (((-73.948597907366 40.603495489764, -73.948650895925 40.60349044531, -73.948658456361 40.60353657524, -73.948642799056 40.603538065814, -73.948643746907 40.603543843988, -73.948639647956 40.603544233884, -73.948447260711 40.603562549025, -73.948438754948 40.603510640905, -73.948597907366 40.603495489764)))",129349,"181,03515625",3073020021,374.149,Photogrammetric,13.0,2017 Aug 22 03:35:49 PM,"62,9400229893"
2066785,,2049590066,1.958,2.1,Constructed,"22,04852646",Bronx,Eastchester-Edenwald-Baychester,eastchesteredenwaldbaychester,"MULTIPOLYGON (((-73.83795637876 40.889391660574, -73.8378975598 40.88940467377, -73.837789646423 40.889428548968, -73.837769963697 40.889377314213, -73.837834712873 40.889362989299, -73.837936695917 40.889340425846, -73.83795637876 40.889391660574)))",129473,"151,921875",2049590066,363.273,Photogrammetric,125.0,2017 Aug 22 06:35:32 PM,"54,39054006458"
4283934,,4132020049,1.95,2.1,Constructed,"25,65480456",Queens,Laurelton,laurelton,"MULTIPOLYGON (((-73.737677541184 40.670484412522, -73.73769194658 40.670460923796, -73.737713962479 40.670468750877, -73.737724016018 40.670452356424, -73.737854518261 40.67049875326, -73.737814516054 40.670563985794, -73.737671209974 40.67051303641, -73.737686754534 40.670487688007, -73.737677541184 40.670484412522)))",17130,"186,16015625",4132020049,419.748,Photogrammetric,21.0,2017 Aug 22 05:34:05 PM,"58,61992059541"
3373792,,3076140055,1.925,5.11,Constructed,"9,16",Brooklyn,Flatlands,flatlands,"MULTIPOLYGON (((-73.944297631696 40.626386164317, -73.944363840136 40.626380395224, -73.944370823102 40.626426916775, -73.944304614617 40.626432684972, -73.944297631696 40.626386164317)))",273343,"50,953125",3076140055,990.273,Photogrammetric,24.0,2017 Aug 17 04:16:44 PM,"28,57231251412"
3095483,,3042510039,1.91,2.1,Constructed,"27,01",Brooklyn,East New York-City Line,eastnewyorkcityline,"MULTIPOLYGON (((-73.869684984798 40.673549891657, -73.869759089999 40.673538960454, -73.869848349367 40.673525793255, -73.869863899891 40.67352349922, -73.869878449688 40.673580678645, -73.869865246402 40.673582625937, -73.869779319728 40.673595301637, -73.86969953563 40.673607071106, -73.869692759636 40.673580444172, -73.869683779631 40.673577709039, -73.8696785148 40.67357610466, -73.869675605105 40.673564671112, -73.869676874498 40.673563910713, -73.869687008324 40.673557841905, -73.869684984798 40.673549891657)))",639460,"177,078125",3042510039,139.728,Photogrammetric,17.0,2017 Aug 22 03:31:40 PM,"59,33136790363"
5064888,,5051010023,1.975,2.1,Constructed,"27,22",Staten Island,Great Kills-Eltingville,greatkillseltingville,"MULTIPOLYGON (((-74.140480342295 40.552784245552, -74.140609459046 40.552692968562, -74.140677227788 40.552748742584, -74.140544192493 40.552842789965, -74.140522226956 40.552824712641, -74.140526146665 40.552821942324, -74.140480342295 40.552784245552)))",694761,"220,484375",5051010023,548.372,Photogrammetric,69.0,2017 Aug 22 06:47:49 PM,"62,69912174231"
4083456,,4034860061,1.91,2.1,Constructed,"34,76",Queens,Ridgewood,ridgewood,"MULTIPOLYGON (((-73.904306481667 40.706474946929, -73.904316259083 40.70646537541, -73.904279605723 40.706443694826, -73.904269829488 40.706453266344, -73.904183939342 40.706402458233, -73.904246093659 40.706341609222, -73.904330373445 40.706391464107, -73.904319145603 40.706402457231, -73.904357462488 40.706425122544, -73.904368690326 40.706414130316, -73.904443956212 40.706458652901, -73.904381801966 40.706519502018, -73.904306481667 40.706474946929)))",480499,"295,484375",4034860061,1.028.988,Photogrammetric,107.0,2020 Jan 28 05:24:50 PM,"86,11768795638"
4216578,,4101720008,1.925,2.1,Constructed,"30,13",Queens,South Jamaica,southjamaica,"MULTIPOLYGON (((-73.789532012349 40.696174275536, -73.789505794279 40.696136987678, -73.789538241345 40.69612377162, -73.789531041063 40.696113532201, -73.789629844061 40.696073287808, -73.789665960967 40.696124653474, -73.789567474224 40.696164768802, -73.789564775737 40.696160930374, -73.789532012349 40.696174275536)))",583393,"132,12109375",4101720008,493.413,Photogrammetric,37.0,2017 Aug 22 05:59:09 PM,"50,26433875794"
3345332,,3035740001,1.976,2.1,Constructed,"32,33",Brooklyn,Brownsville,brownsville,"MULTIPOLYGON (((-73.910088335176 40.662852365508, -73.910239157186 40.662829774057, -73.910262919923 40.662921771386, -73.910112097714 40.662944361967, -73.910088335176 40.662852365508)))",30050,"235,44140625",3035740001,271.369,Photogrammetric,30.0,2017 Aug 22 03:36:25 PM,"61,7420789196"
