the_geom,PHYSICALID,L_LOW_HN,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,STATUS,BIKE_LANE,TRAFDIR,RW_TYPE,PRE_TYPE,POST_TYPE,OBJECTID,FCC,Left side Block Face ID,Right Side Block Face ID,Average Travel Time,Roadway Jurisdiction,NOMINALDIR,ACCESSIBLE,NONPED,Borough Code,Borough Indicator,Segloc Status,San District Inc,Left Side Subset,Right Side Subset,Continuous Parity Flag,Twisted Parity Flag,Posted Speed,Segment Length,Street Width,Street Width IRR,Special Disaster,Fire Lane,CREATED_DATE,MODIFIED_DATE,WITHIN_BNDY_DIST,TRUCK ROUTE TYPE,Collection Method,FROM_LEVEL_CODE,TO_LEVEL_CODE,B5SC,Snow Priority,JOINID,BPHYS_ID,Cartography Display Level,Number Travel Lanes,Number Park Lanes,Number Total Lane,Pre-Modifier,Pre-Directional,Post Directional,Post Modifier,Full Street Name,BIKE TRAFFIC DIRECTION,SHAPE__Length,GlobalID,SEGMENT_TYPE,SEGMENT_TYPE_VALUE,STREET NAME,Street Name Label
"MULTILINESTRING ((-73.865894086959 40.728838060928, -73.865488570723 40.729480254846))",34.686,93-001,93-099,93-000,93-098,11374,11374,2,3.0,TF,1,,AVE,31.518,,92.266.753,92.262.521,,,,,,4,,X,,2D,2D,,N,25.0,"259,56623983",44.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,412990,S,,,,2.0,2.0,4.0,,,,,63 AVE,TF,"104,58122065106",8950f29d-cf65-43ce-84d4-8c64f709d4bf,,,63,63 AVE
"MULTILINESTRING ((-73.946073611675 40.58142187375, -73.945822797028 40.580101685889))",91.09,1,99,2,98,11235,11235,2,,TF,1,,ST,82.399,,1.822.603.426,1.822.606.305,,,,,,3,,,,3C,3C,,N,25.0,"485,9969173",32.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:31:11 AM,,,,13,13,344130,S,,,,1.0,2.0,3.0,,,,,GIRARD ST,,"195,5057676471",530fe73b-ac53-484d-b1ab-4dfc0de47c79,,,GIRARD,GIRARD ST
"MULTILINESTRING ((-73.877855970545 40.56745523903, -73.877857670046 40.567473766497, -73.877861479694 40.567492110585, -73.877867370518 40.5675101318, -73.877875297722 40.567527693102, -73.877885201024 40.567544660948, -73.877897005117 40.567560906309, -73.877910620236 40.56757630565, -73.877925942849 40.567590741869, -73.877942856435 40.567604105187, -73.877961232378 40.567616293987, -73.87798093094 40.56762721558, -73.878001802325 40.567636786914, -73.878023687819 40.567644935208), (-73.878023687819 40.567644935208, -73.87804642081 40.56765159863, -73.878069828627 40.567656726399, -73.878093733268 40.56766027952, -73.878117952956 40.567662230976, -73.878142303517 40.567662565926, -73.878166599782 40.567661281824, -73.878190656994 40.567658388435, -73.878214292214 40.567653907761, -73.878237325714 40.567647873872, -73.87825958234 40.567640332654, -73.878280892845 40.567631341451, -73.878301095177 40.567620968634, -73.878320035712 40.567609293081))",145.668,,,,,11694,11694,2,,NV,6,,PATH,104.311,,,,,,,,,4,,,,,,,N,,"175,98374409",,,,,2012 May 22 11:11:46 AM,2015 Sep 23 12:00:00 AM,,,,13,13,415795,,,,,,,,,,,,PEDESTRIAN PATH,,"70,59510530547",ae03cf82-ab00-4a20-a9ea-078b9580843f,,,PEDESTRIAN,PEDESTRIAN PATH
"MULTILINESTRING ((-73.963153609759 40.701028216877, -73.961750332482 40.701952179565))",168.1,1,73,2,46,11249,11249,2,,TF,1,,ST,109.371,,1.922.613.859,1.922.611.510,,,,,,3,,,,4B,4B,,N,25.0,"525,57260723",52.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 14 10:14:14 AM,,,,13,13,350530,C,,,,2.0,2.0,4.0,,,,,HOOPER ST,,"206,90342663598",13954797-505a-4557-8c87-3b1d9f9fa7b4,,,HOOPER,HOOPER ST
"MULTILINESTRING ((-73.771472092555 40.744269876973, -73.771453415535 40.744229776203, -73.771433610382 40.744187412752))",23.847,,,,,11364,11364,2,,TF,2,,EXPY,127.239,,82.266.967,72.260.482,,,,,V,4,,,,,,,N,50.0,"16,38100715",35.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,3.0,,9,9,439070,C,,,10.0,3.0,0.0,3.0,,,,,CLEARVIEW EXPY,,"12,8515393071",58b6add6-92d8-4b34-8e4c-505d57a79324,,,CLEARVIEW,CLEARVIEW EXPY
"MULTILINESTRING ((-73.774863716221 40.68702483619, -73.774799218702 40.68706023583))",19.981,,,,,11434,11434,2,,TW,1,,BLVD,17.778,,,,,,,,,4,,,,5D,5D,,N,25.0,"22,05209035",50.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:50:06 AM,,,,13,13,445290,C,,,,4.0,0.0,4.0,,,,,FOCH BLVD,,"8,86324592288",bc6e842f-febb-49be-9915-9dcc19ed5a38,,,FOCH,FOCH BLVD
"MULTILINESTRING ((-73.991326431759 40.719410767606, -73.990529917279 40.719167972526))",4.148,0,0,55,69,10002,10002,2,1.0,FT,1,,ST,3.453,,1.222.607.236,1.222.606.888,,,,,,1,,,,1A,1A,,N,25.0,"237,85460084",46.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,3.0,,13,13,116310,C,,,,3.0,1.0,4.0,,,,,DELANCEY ST,FT,"95,57003440284",4f667d42-d3a2-47b2-b79c-18d3c556ab90,,,DELANCEY,DELANCEY ST
"MULTILINESTRING ((-73.848791536958 40.680017675281, -73.847933509569 40.678275333585))",83.361,105-001,106-099,105-000,106-098,11417,11417,2,,FT,1,,ST,75.43,,52.261.750,52.263.026,,,,,,4,,,,1D,1D,,N,25.0,"677,93122519",30.0,,,,2007 Nov 29 12:00:00 AM,2017 Oct 13 06:21:01 PM,,,,13,13,418240,H,,,,1.0,2.0,3.0,,,,,90 ST,,"273,0078128957",8e5e8551-fa6a-438f-bf1b-0c7416b4b4bc,,,90,90 ST
"MULTILINESTRING ((-74.147741708521 40.610007463998, -74.148937548347 40.609759051229))",49.102,2530,2598,2537,2599,10314,10314,2,,TW,1,,BLVD,44.717,,1.622.606.364,1.622.606.878,,,,,,5,,X,,4D,4D,,N,25.0,"344,14506113",60.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:23:27 PM,,2.0,,13,13,553000,C,,,10.0,4.0,0.0,4.0,,,,,VICTORY BLVD,,"138,01401343853",a2a92b85-1ce4-4ab6-8490-7892b94edc13,,,VICTORY,VICTORY BLVD
"MULTILINESTRING ((-74.120554121279 40.611869453242, -74.120479362526 40.610817892586))",101.776,51,83,50,78,10314,10314,2,,TF,1,,LN,91.941,,1.622.609.547,1.622.603.612,,,,,,5,,,,3E,3E,,N,25.0,"383,67268607",30.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,F,13,13,548410,C,,,,1.0,2.0,3.0,,,,,SOMMERS LN,,"154,42365851735",5b2f1396-3400-4306-8a2b-73890280b82b,,,SOMMERS,SOMMERS LN
