the_geom,bin,zipcode,post_type,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,objectid,addresspointid,house_number,hyphen_type,sosindicator,address_source,validation,boroughcode,collectionmethod,created_date,b7sc_actual,street_name,full_street_name,modified_date,address_status,pre_directional,pre_type,house_number_suffix,special_condition,b7sc_vanity,complexid,a4id,house_number_range,post_directional,house_number_range_suffix,post_modifier,pre_modifier
"{'type': 'Point', 'coordinates': [-73.927385098801, 40.773424629553]}",4625345,11102,ST,39,3,72,4,1943095,5215417,26-28,Q,2,3,5,4,O,2025-05-06T11:41:08.000Z,40624001,18,18 ST,,4.0,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.989785589711, 40.726456952539]}",1006598,10003,ST,70,4,5,50,1943084,5215430,87,N,1,3,5,1,A,2025-05-07T16:44:55.000Z,11707001,4,E  4 ST,,4.0,E,,A,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.982573812275, 40.764741761502]}",1078860,10019,,11,4,10,10,1915927,5195512,1727,N,1,1,5,1,O,2019-10-28T15:48:35.000Z,13487001,BROADWAY,BROADWAY,2025-05-06T13:30:13.000Z,4.0,,,,V,11361001.0,,,,,,,
"{'type': 'Point', 'coordinates': [-73.729206893039, 40.666245561627]}",4571418,11422,AVE,63,3,63,47,1926245,5185345,247-12,Q,2,1,5,4,O,2018-02-20T15:54:40.000Z,45755001,CONDUIT,N  CONDUIT AVE,2025-05-07T09:16:42.000Z,4.0,N,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.981774759006, 40.731929855141]}",1082872,10009,AVE,71,4,7,51,1943089,5215433,252,N,2,3,3,1,A,2025-05-08T16:07:49.000Z,11001001,1,1 AVE,,,,,,,,519.0,,,,,,
"{'type': 'Point', 'coordinates': [-73.922362153891, 40.707401890263]}",3398295,11237,ST,42,2,53,30,1870744,10164356,425,N,1,3,5,3,A,2015-03-05T00:00:00.000Z,38593001,TROUTMAN,TROUTMAN ST,2025-05-09T13:52:01.000Z,,,,,,,,8855.0,,,,,
"{'type': 'Point', 'coordinates': [-73.99170916384, 40.753027464023]}",1014435,10018,ST,11,4,8,10,1752064,1017850,256,N,1,3,5,1,F,2009-04-06T00:00:00.000Z,13449001,36,W  36 ST,2025-05-07T16:54:35.000Z,4.0,W,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.965262821578, 40.693658945101]}",3054521,11205,AVE,68,2,55,48,1773322,3068503,497,N,1,1,2,3,F,2009-02-13T00:00:00.000Z,36303001,MYRTLE,MYRTLE AVE,2025-05-09T17:09:10.000Z,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.96485485689, 40.69370226312]}",3398459,11205,AVE,68,2,55,48,1869836,5171147,501,N,1,3,5,3,O,2016-05-31T13:13:27.000Z,36303001,MYRTLE,MYRTLE AVE,2025-05-09T17:09:10.000Z,4.0,,,,,,,12453.0,,,,,
"{'type': 'Point', 'coordinates': [-73.964766166873, 40.693711406287]}",3054567,11205,AVE,68,2,55,48,1596792,3068556,503,N,1,3,5,3,A,2009-02-13T00:00:00.000Z,36303001,MYRTLE,MYRTLE AVE,2025-05-09T17:09:10.000Z,,,,,,,,4513.0,,,,,
"{'type': 'Point', 'coordinates': [-73.912853514213, 40.695550386409]}",3428740,11221,AVE,42,2,53,37,1943065,5215443,636,N,2,3,5,3,O,2025-05-09T13:52:01.000Z,35410001,KNICKERBOCKER,KNICKERBOCKER AVE,,4.0,,,,,,,,,,,,
