order_number,record_type,order_type,borough,on_street,on_street_suffix,from_street,from_street_suffix,to_street,to_street_suffix,side_of_street,order_completed_on_date,sign_code,sign_description,sign_size,sign_design_voided_on_date,sign_location,distance_from_intersection,arrow_direction,facing_direction,sheeting_type,support,sign_notes,sign_x_coord,sign_y_coord
S-01668902,Current,S-,Brooklyn,STERLING STREET,,WASHINGTON AVENUE,,BEDFORD AVENUE,,S,09/13/2023,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C),018 X 012,,,890.0,,,PNTD,LP,,995994.0,180719.0
S-01818908,Current,S-,Queens,101 AVENUE,,131 STREET,,132 STREET,,S,10/14/2025,SP-477BA,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,020 DIAMETER,,,85.0,West,,PNTD,BUSPOLE,550177,1035296.0,191740.0
P-01279780,Current,P-,Queens,MARATHON PARKWAY,,HORACE HARDING EXPWY,S S/R,60 AVENUE,,W,12/27/2017,PS-86G,NO STANDING SCHOOL DAYS 7AM-5PM <-> (SUPERSEDES SP-128C & SP-376B),018 X 012,,,434.0,,,PNTD,DR,,1058677.0,216014.0
P-01833055,Current,P-,Bronx,BROADWAY,,VAN CORTLANDT PARK SOUTH,,VAN CORTLANDT PARK,,E,12/24/2025,SI-1878G,LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED),14.12 X 6,,,2.064,,,PNTD,SAME,W1,,
P-01747690,Current,P-,Manhattan,WEST   37 STREET,,8 AVENUE,,9 AVENUE,,S,11/13/2024,PS-11GA,NO STANDING HOTEL LOADING ZONE --> (SUPERSEDES SP-1045BA),018 X 012,,,404.0,East,,PNTD,BIDPOLE,HILTON GARDEN INN TIMES SQUARE SOUTH @ 326 W 37 ST,986091.0,214208.0
S-01668902,Current,S-,Brooklyn,STERLING STREET,,WASHINGTON AVENUE,,BEDFORD AVENUE,,S,09/13/2023,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C),018 X 012,,,640.0,,,PNTD,LP,,995744.0,180699.0
S-01792964,Current,S-,Queens,133 AVENUE,,GOLD ROAD,,SITKA STREET,,S,04/18/2025,PS-1GA,"NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)",018 X 012,,,115.0,East,,PNTD,DR,DAYLIGHTING,1026981.0,185209.0
S-01656183,Current,S-,Brooklyn,HENDRIX STREET,,NEW LOTS AVENUE,,HEGEMAN AVENUE,,E,09/13/2023,PS-80B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM <-> (SUPERSEDES SP-361C),018 X 012,,,716.0,,,PNTD,DR,,1015866.0,180707.0
P-01724189,Current,P-,Queens,101 AVENUE,,99 STREET,,98 STREET,,N,06/21/2024,PS-19B,NO PARKING (SANITATION BROOM SYMBOL) 8:30AM-9AM EXCEPT SUNDAY <-> (SUPERSEDES SP-855C),018 X 012,,,111.0,,,PNTD,LP,,1027811.0,188954.0
S-01665760,Current,S-,Bronx,EAST  217 STREET,,WHITE PLAINS ROAD,,BARNES AVENUE,,N,09/13/2023,PS-32B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY 9:30AM-11AM <-> (SUPERSEDES SP-453C),018 X 012,,,333.0,,,PNTD,DR,,1022318.0,260575.0
